pro,city,code,pro_code,city_code,city,lat,lon,纬度,经度,最近距离千米,最近港口,
甘肃省,嘉峪关市,296,62,620200,嘉峪关市,39.7865,98.2773,39.7865,98.2773,1672.3157,天津港,
甘肃省,金昌市,297,62,620300,金昌市,38.5142,102.188,38.5142,102.188,1348.5951,天津港,
甘肃省,白银市,298,62,620400,白银市,36.5457,104.174,36.5457,104.174,1222.1616,天津港,
甘肃省,武威市,300,62,620600,武威市,37.93,102.635,37.93,102.635,1319.4756,天津港,
甘肃省,张掖市,301,62,620700,张掖市,38.9329,100.455,38.9329,100.455,1492.869,天津港,
甘肃省,酒泉市,303,62,620900,酒泉市,39.744,98.5108,39.744,98.5108,1652.6534,天津港,
甘肃省,临夏回族自治州,307,62,622900,临夏回族自治州,35.5994,103.212,35.5994,103.212,1337.9307,天津港,
青海省,西宁市,309,63,630100,西宁市,36.6232,101.779,36.6232,101.779,1425.2056,天津港,
青海省,海东市,310,63,630200,海东市,36.5029,102.103,36.5029,102.103,1400.9869,天津港,
青海省,海北藏族自治州,311,63,632200,海北藏族自治州,36.9594,100.901,36.9594,100.901,1491.4326,天津港,
青海省,黄南藏族自治州,312,63,632300,黄南藏族自治州,35.5177,102.02,35.5177,102.02,1442.168,天津港,
青海省,海南藏族自治州,313,63,632500,海南藏族自治州,36.2804,100.62,36.2804,100.62,1535.3487,天津港,
青海省,海西蒙古族藏族自治州,316,63,632800,海西蒙古族藏族自治州,37.3747,97.3708,37.3747,97.3708,1786.1877,天津港,
宁夏回族自治区,银川市,317,64,640100,银川市,38.4664,106.278,38.4664,106.278,995.86649,天津港,
宁夏回族自治区,石嘴山市,318,64,640200,石嘴山市,39.0133,106.376,39.0133,106.376,981.95339,天津港,
宁夏回族自治区,吴忠市,319,64,640300,吴忠市,37.9862,106.199,37.9862,106.199,1010.4759,天津港,
宁夏回族自治区,中卫市,321,64,640500,中卫市,37.515,105.19,37.515,105.19,1107.6251,天津港,
新疆维吾尔自治区,乌鲁木齐市,322,65,650100,乌鲁木齐市,43.7928,87.6177,43.7928,87.6177,2554.7785,天津港,
新疆维吾尔自治区,克拉玛依市,323,65,650200,克拉玛依市,45.5959,84.8739,45.5959,84.8739,2780.6788,天津港,
新疆维吾尔自治区,吐鲁番市,324,65,652100,吐鲁番地区,42.9476,89.1841,42.9476,89.1841,2426.2304,天津港,
