pro,city,code,pro_code,city_code,city,lat,lon,纬度,经度,最近距离千米,最近港口,
广东省,珠海市,196,44,440400,珠海市,22.2559,113.553,22.2559,113.553,35.744571,中山港,
广东省,江门市,199,44,440700,江门市,22.5904,113.095,22.5904,113.095,39.426267,中山港,
广东省,中山市,210,44,442000,中山市,22.5211,113.382,22.5211,113.382,11.284249,中山港,
广东省,阳江市,207,44,441700,阳江市,21.8592,111.975,21.8592,111.975,23.78068,阳江港,
广东省,云浮市,213,44,445300,云浮市,22.9298,112.044,22.9298,112.044,137.6916,阳江港,
广西壮族自治区,梧州市,217,45,450400,梧州市,23.4723,111.316,23.4723,111.316,202.32047,阳江港,
广东省,茂名市,201,44,440900,茂名市,21.6598,110.919,21.6598,110.919,19.793771,茂名港,
广西壮族自治区,玉林市,222,45,450900,玉林市,22.6314,110.154,22.6314,110.154,153.49955,茂名港,
广东省,湛江市,200,44,440800,湛江市,21.1953,110.406,21.1953,110.406,1.8741474,湛江港,
广西壮族自治区,防城港市,219,45,450600,防城港市,21.6146,108.345,21.6146,108.345,5.8252872,防城港,
广西壮族自治区,百色市,223,45,451000,百色市,23.8977,106.616,23.8977,106.616,314.54839,防城港,
广西壮族自治区,崇左市,227,45,451400,崇左市,22.4041,107.354,22.4041,107.354,140.24297,防城港,
四川省,攀枝花市,233,51,510400,攀枝花市,26.5804,101.716,26.5804,101.716,875.66209,防城港,
四川省,凉山彝族自治州,251,51,513400,凉山彝族自治州,27.8868,102.259,27.8868,102.259,934.39124,防城港,
贵州省,黔西南布依族苗族自治州,258,52,522300,黔西南布依族苗族自治州,25.0881,104.898,25.0881,104.898,527.69219,防城港,
云南省,昆明市,261,53,530100,昆明市,25.0406,102.712,25.0406,102.712,695.43698,防城港,
云南省,曲靖市,262,53,530300,曲靖市,25.5016,103.798,25.5016,103.798,639.04033,防城港,
云南省,玉溪市,263,53,530400,玉溪市,24.3505,102.544,24.3505,102.544,672.9153,防城港,
云南省,保山市,264,53,530500,保山市,25.1118,99.1671,25.1118,99.1671,1019.8292,防城港,
云南省,丽江市,266,53,530700,丽江市,26.8721,100.233,26.8721,100.233,1014.235,防城港,
云南省,普洱市,267,53,530800,普洱市,22.7773,100.972,22.7773,100.972,775.63426,防城港,
云南省,临沧市,268,53,530900,临沧市,23.8866,100.087,23.8866,100.087,889.30908,防城港,
云南省,楚雄彝族自治州,269,53,532300,楚雄彝族自治州,25.042,101.546,25.042,101.546,797.52105,防城港,
云南省,红河哈尼族彝族自治州,270,53,532500,红河哈尼族彝族自治州,23.3668,103.384,23.3668,103.384,551.42688,防城港,
云南省,文山壮族苗族自治州,271,53,532600,文山壮族苗族自治州,23.3695,104.244,23.3695,104.244,470.10044,防城港,
云南省,西双版纳傣族自治州,272,53,532800,西双版纳傣族自治州,22.0017,100.798,22.0017,100.798,785.77937,防城港,
云南省,大理白族自治州,273,53,532900,大理白族自治州,25.5928,100.24,25.5928,100.24,942.29902,防城港,
云南省,德宏傣族景颇族自治州,274,53,533100,德宏傣族景颇族自治州,24.4367,98.5784,24.4367,98.5784,1053.0693,防城港,
云南省,怒江傈僳族自治州,275,53,533300,怒江傈僳族自治州,25.8509,98.8543,25.8509,98.8543,1080.1239,防城港,
云南省,迪庆藏族自治州,276,53,533400,迪庆藏族自治州,27.8269,99.7065,27.8269,99.7065,1117.7634,防城港,
西藏自治区,拉萨市,277,54,540100,拉萨市,29.6604,91.1322,29.6604,91.1322,1946.2242,防城港,
西藏自治区,日喀则市,278,54,540200,日喀则市,29.2638,88.8849,29.2638,88.8849,2133.1037,防城港,
西藏自治区,昌都市,279,54,540300,昌都市,31.1369,97.1785,31.1369,97.1785,1539.2418,防城港,
西藏自治区,山南地区,280,54,542200,山南地区,29.236,91.7665,29.236,91.7665,1871.1453,防城港,
西藏自治区,那曲地区,281,54,542400,那曲地区,31.476,92.0602,31.476,92.0602,1957.9472,防城港,
西藏自治区,阿里地区,282,54,542500,阿里地区,32.5032,80.1055,32.5032,80.1055,3040.5924,防城港,
西藏自治区,林芝市,283,54,542600,林芝地区,29.6547,94.3623,29.6547,94.3623,1666.0791,防城港,
青海省,玉树藏族自治州,315,63,632700,玉树藏族自治州,33.004,97.0085,33.004,97.0085,1693.3507,防城港,
新疆维吾尔自治区,和田地区,332,65,653200,和田地区,37.1107,79.9253,37.1107,79.9253,3234.4605,防城港,
广西壮族自治区,北海市,218,45,450500,北海市,21.4733,109.119,21.4733,109.119,2.9643171,北海港,
广西壮族自治区,南宁市,214,45,450100,南宁市,22.824,108.32,22.824,108.32,125.06304,钦州港,
广西壮族自治区,柳州市,215,45,450200,柳州市,24.3146,109.412,24.3146,109.412,299.81092,钦州港,
广西壮族自治区,钦州市,220,45,450700,钦州市,21.9671,108.624,21.9671,108.624,26.944139,钦州港,
广西壮族自治区,贵港市,221,45,450800,贵港市,23.0936,109.602,23.0936,109.602,184.24318,钦州港,
广西壮族自治区,河池市,225,45,451200,河池市,24.6959,108.062,24.6959,108.062,334.47432,钦州港,
广西壮族自治区,来宾市,226,45,451300,来宾市,23.7338,109.23,23.7338,109.23,232.6388,钦州港,
四川省,成都市,231,51,510100,成都市,30.6595,104.066,30.6595,104.066,1090.5994,钦州港,
四川省,自贡市,232,51,510300,自贡市,29.3528,104.773,29.3528,104.773,930.14526,钦州港,
四川省,泸州市,234,51,510500,泸州市,28.8891,105.443,28.8891,105.443,856.72513,钦州港,
四川省,德阳市,235,51,510600,德阳市,31.128,104.399,31.128,104.399,1125.1925,钦州港,
四川省,绵阳市,236,51,510700,绵阳市,31.464,104.742,31.464,104.742,1147.9873,钦州港,
四川省,遂宁市,238,51,510900,遂宁市,30.5133,105.571,30.5133,105.571,1022.2264,钦州港,
四川省,内江市,239,51,511000,内江市,29.5871,105.066,29.5871,105.066,942.43417,钦州港,
四川省,乐山市,240,51,511100,乐山市,29.582,103.761,29.582,103.761,998.17953,钦州港,
四川省,南充市,241,51,511300,南充市,30.7953,106.083,30.7953,106.083,1038.7235,钦州港,
四川省,眉山市,242,51,511400,眉山市,30.0483,103.832,30.0483,103.832,1040.1157,钦州港,
四川省,宜宾市,243,51,511500,宜宾市,28.7602,104.631,28.7602,104.631,877.3145,钦州港,
四川省,广安市,244,51,511600,广安市,30.4564,106.633,30.4564,106.633,990.04252,钦州港,
四川省,达州市,245,51,511700,达州市,31.2095,107.502,31.2095,107.502,1059.9096,钦州港,
四川省,雅安市,246,51,511800,雅安市,29.9877,103.001,29.9877,103.001,1074.8629,钦州港,
四川省,资阳市,248,51,512000,资阳市,30.1222,104.642,30.1222,104.642,1013.2565,钦州港,
四川省,阿坝藏族羌族自治州,249,51,513200,阿坝藏族羌族自治州,31.8998,102.221,31.8998,102.221,1294.9415,钦州港,
四川省,甘孜藏族自治州,250,51,513300,甘孜藏族自治州,30.0507,101.964,30.0507,101.964,1137.7025,钦州港,
贵州省,贵阳市,252,52,520100,贵阳市,26.5783,106.713,26.5783,106.713,571.97999,钦州港,
贵州省,六盘水市,253,52,520200,六盘水市,26.5846,104.847,26.5846,104.847,660.0702,钦州港,
贵州省,遵义市,254,52,520300,遵义市,27.7066,106.937,27.7066,106.937,685.46979,钦州港,
贵州省,安顺市,255,52,520400,安顺市,26.2455,105.932,26.2455,105.932,570.26566,钦州港,
贵州省,毕节市,256,52,520500,毕节市,27.3017,105.285,27.3017,105.285,704.12427,钦州港,
贵州省,黔东南苗族侗族自治州,259,52,522600,黔东南苗族侗族自治州,26.5834,107.977,26.5834,107.977,543.54964,钦州港,
贵州省,黔南布依族苗族自治州,260,52,522700,黔南布依族苗族自治州,26.2582,107.517,26.2582,107.517,515.45367,钦州港,
云南省,昭通市,265,53,530600,昭通市,27.337,103.717,27.337,103.717,794.74162,钦州港,
青海省,果洛藏族自治州,314,63,632600,果洛藏族自治州,34.4736,100.242,34.4736,100.242,1635.1507,钦州港,
海南省,海口市,228,46,460100,海口市,20.032,110.331,20.032,110.331,5.0667954,海口港,
海南省,三亚市,229,46,460200,三亚市,18.2479,109.508,18.2479,109.508,38.568836,三亚港,
海南省,三沙市,230,46,460300,三沙市,16.831,112.349,16.831,112.349,377.18238,三亚港,
